analysisGender2Category,analysisGender3Category,analysisHasSecondaryMorphYN,analysisInternalChanges,analysisMutability,analysisNotes,analysisPluralPattern,analysisPluralPatternSecondary,analysisPluralSplitYN,analysisPluralTheme,analysisPluralThemeSecondary,analysisRAugSplitYN,analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,lexiconAnimateYN,lexiconGender,lexiconGlossEnglish,lexiconGlossFrench,lexiconHumanYN,lexiconjGender,lexiconLoanwordNotes,lexiconLoanwordSource,lexiconPOS,lexiconSemanticField,lexiconSexGender,recordDataSource,recordID,word1MSF,word2MSB,word3MPF,word4MPB,word5FSF,word6FSB,word7FPF,word8FPB,wordDerivedCategory,wordDerivedCategoryNotes,wordDerivedInput,wordDerivedInputGloss,wordFemBase,wordFemSecondary,wordLexBitVector,wordMascBase,wordMascSecondary,wordNumSemanticCategory,p_stem_sing_syllabified,p_stem_sing_LH,p_stem_sing_foot,p_LH_count_heavies,p_LH_count_moras,p_foot_count_feet,p_foot_residue
Masculine,Masculine,Yes,,Variable-Masc,"Semantic Category: AUG is a ladle, DIM is a spoon, so not clear which is derived; ladle could be big spoon. 
Stem phonology: latent final glide deletion",External,,N,ʁʷnʒaw,,,A,N,ʁʷnʒa,N,M,ladle,louche,N,F,,Native,N,Food & Drink,,Jebbour 1996,1284,aʁʷnʒa,uʁʷnʒa,iʁʷnʒawn,iʁʷnʒawn,taʁnʒawt,tʁnʒawt,tiʁnʒawin,tʁnʒawin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,ʁn.ʒa,LL,F,0,2,1,0
Masculine,Masculine,,"Ablaut
Medial A",Fixed-Masc,Stem phonology: delabialization,Internal,,N,sugam,,,A,N,sagʷm,N,M,scoop,puisette,N,M,,Native,N,Food & Drink,,Jebbour 1996,1285,asagʷm,usagʷm,isugam,isugam,,,,,Instrumental Nouns,,agʷm (verb),to draw water,0.0,,1111-0000,1.0,,,sa.gm,LL,F,0,2,1,0
Masculine,Masculine,Yes,Medial A,Variable-Masc,,Internal,,N,srkas,,,A,N,srks,N,M,ladle to mix,louche pour mélanger,N,M,,Native,N,Food & Drink,,Jebbour 1996,1286,asrks,usrks,isrkas,isrkas,tasrkst,tsrkst,tisrkas,tsrkas,Instrumental Nouns,,rks (verb),to mix,0.0,DIM,1111-1111,1.0,,5-DIM,sr.ks,LL,F,0,2,1,0
Masculine,Neutral,,,Neutral,"Gender: masc/fem depending on the gender of the modified noun
",No Plural,,N,,,,A,Y,ziwl,Y,M,cross-eyed,"loucherie, strabisme",N,M,,Native,N,Body Parts & Functions,NonSpec,Jebbour 1996,1288,aziwl,uziwl,,,aziwl,uziwl,,,Action Nouns,,ziwl (verb),to be cross-eyed,0.0,,1100-1100,1.0,,,zi.wl,LL,F,0,2,1,0
Masculine,Neutral,,,Neutral,,External,,N,krraj,,,A,Y,krraj,Y,M,"landlord, tenant","loueur, locataire",Y,M,,Native,N,Possession & Trade,NonSpec,Jebbour 1996,1290,akrraj,ukrraj,ikrrajn,ikrrajn,takrrajt,tkrrajt,tikrrajin,tkrrajin,Agentives,,kru (verb),to rent,0.0,,1111-1111,1.0,,,kr.raj,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,!azdaj,N,F,heaviness,lourdeur,N,F,,Native,N,Quantity & Number,,Jebbour 1996,1291,,,,,!tazdajt,!tazdajt,,,Action Nouns,,!izduj (verb),be heavy,5.0,,0000-1100,0.0,,,az.daj,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,zal,N,M,daylight,lumère du jour,N,M,,Native,N,Sense Perception,,Jebbour 1996,1292,azal,uzal,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,zal,H,F,1,2,1,0
Feminine,Feminine,,,Fixed-Fem,,External,,N,ufaw,,,Zero,N,ufaw,N,F,light,lumière,N,F,,Native,N,Sense Perception,,Jebbour 1996,1293,,,,,tufawt,tufawt,tufawin,tufawin,Action Nouns,,fu (verb),illuminate,5.0,,0000-1111,0.0,,,u.faw,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,External,,N,ifaw,,,Zero,N,ifaw,N,F,"light, clarity","lumière, clarté",N,F,,Native,N,Sense Perception,,Jebbour 1996,1294,,,,,tifawt,tifawt,tifawin,tifawin,Action Nouns,,fu (verb),illu;minate,5.0,,0000-1111,0.0,,,i.faw,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,mhddr,,,A,Y,mhddr,Y,M,"luron, energetic person, joker","luron, plaisantin",Y,M,,Arabic-Assimilated,N,Social Relations,NonSpec,Jebbour 1996,1295,!amhddr,!umhddr,!imhddrn,!imhddrn,!tamhddrt,!tmhddrt,!timhddrin,!tmhddrin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,m.hd.dr,LLL,lF,0,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,amaʁ,N,F,fight,lutte,N,F,,Native,N,Warfare & Hunting,,Jebbour 1996,1296,,,,,tamaʁt,tamaʁt,,,Action Nouns,,mmaʁ (verb),fight,5.0,,0000-1100,0.0,,,a.maʁ,LH,lF,1,3,1,1
Masculine,Masculine,,Ablaut,Fixed-Masc,,Mixed,,N,maʁ,,,I,N,miʁ,N,M,"fight, fight action","lutte, action de se battre",N,M,,Native,N,Warfare & Hunting,,Jebbour 1996,1297,imiʁ,imiʁ,imaʁn,imaʁn,,,,,Action Nouns,,mmaʁ (verb),fight,0.0,,1111-0000,1.0,,,miʁ,H,F,1,2,1,0
Masculine,Masculine,,,Fixed-Masc,"Stem phonology: latent final glide deletion, vowel disharmony",External,,N,agʒiw,,,Zero,N,agʒa,N,M,jaw,mâchoire,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,1300,agʒa,wagʒa,agʒiwn,wagʒiwn,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,ag.ʒa,HL,Fl,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,bnnaj,,,A,Y,bnnaj,Y,M,mason,maçon,Y,M,,Arabic-Assimilated,N,Physical Acts & Materials,NonSpec,Jebbour 1996,1301,abnnaj,ubnnaj,ibnnajn,ibnnajn,tabnnajt,tbnnajt,tibnnajin,tbnnajin,Agentives,,bnu (verb),to build,0.0,,1111-1111,1.0,,,bn.naj,LH,lF,1,3,1,1
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Internal,,N,ndʕaf,,,A,N,ndʕuf,Y,M,lean person or animal,maigre,Y,M,,Arabic-Assimilated,N,Spatial Relations,NonSpec,Jebbour 1996,1303,andʕuf,undʕuf,indʕaf,indʕaf,tandʕuft,tndʕuft,tindʕaf,tndʕaf,Agentives,,dʕf (verb),be weak,0.0,POLY,1111-1111,1.0,,5-POLY,nd.ʕuf,HH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,I,N,sddi,N,F,"leanness, thinness","maigreur, minceur",N,F,,Native,N,Spatial Relations,,Jebbour 1996,1304,,,,,tisddi,tsddi,,,Tifrdi,,isdid (verb),be thin,5.0,,0000-1100,0.0,,,sd.di,HL,Fl,1,3,1,1
Masculine,Neutral,,Ablaut,Neutral,,Internal,,N,msduda,,,A,Y,msdadu,Y,M,skinny person or animal,maigrichon,Y,M,,Native,N,Spatial Relations,NonSpec,Jebbour 1996,1305,amsdadu,umsdadu,imsduda,imsduda,tamsdadut,tmsdadut,timsduda,tmsduda,Agentives,,isdid (verb),to be thin,0.0,,1111-1111,1.0,,,ms.da.du,HLL,FF,1,4,2,0
Masculine,Masculine,Yes,Ablaut,Variable-Masc,Internal changes: final gemination,Mixed,,N,fass,,,A,N,fus,N,M,hand,main,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,1306,afus,ufus,ifassn,ifassn,tafust,tfust,tifassin,tfassin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,fus,H,F,1,2,1,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!kʷrʃʃid,,,A,N,!kʷrʃʃid,N,M,hand (pejorative),"main (péj.), paluche",N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,1307,!akʷrʃʃid,!ukʷrʃʃid,!ikʷrʃʃidn,!ikʷrʃʃidn,!takʷrʃʃitt,!tkʷrʃʃitt,!tikʷrʃʃidin,!tkʷrʃʃidin,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,krʃ.ʃid,HH,FF,1,4,2,0
Feminine,Feminine,,Ablaut,Fixed-Fem,Assumption: covert context triggers delabialization in singular,Internal,,N,gʷmma,,,I,N,gmmi,N,F,home,maison,N,F,,Native,N,Dwellings & Furniture,,Jebbour 1996,1308,,,,,tigmmi,tgmmi,tigʷmma,tgʷmma,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,gm.mi,LL,F,0,2,1,0
Masculine,Neutral,,,Neutral,,External,,N,!mddsr,,,A,Y,!mddsr,Y,M,"impolite, turbulent person","mal élevé, turbulent",Y,M,,Native,N,Emotion,NonSpec,Jebbour 1996,1309,!amddsr,!umddsr,!imddsrn,!imddsrn,!tamddsrt,!tmddsrt,!imddsrin,!tmddsrin,Agentives,,!ddsr (verb),to be turbulent,0.0,,1111-1111,1.0,,,mdd.sr,HL,Fl,1,3,1,1
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Internal,,N,!mudan,,,A,N,!madun,Y,M,sick person (patient),malade,Y,F,,Native,N,Body Parts & Functions,NonSpec,Jebbour 1996,1311,!amadun,!umadun,!imudan,!imudan,!tamadunt,!tmadunt,!timudan,!tmudan,Agentives,,!adn (verbe),to be sick,0.0,POLY,1111-1111,1.0,,5-POLY,ma.dun,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,imssi,N,F,disease (affects chickens),gale déplumante (touche les poules),N,F,,Native,N,Body Parts & Functions,,Jebbour 1996,1313,,,,,timssi,timssi,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,i.ms.si,LLL,lF,0,3,1,1
Masculine,Neutral,,,Neutral,,id Plural,,N,waʃʃ,,,Zero,Y,waʃʃ,Y,N,"unlucky person, someone who attracts problems",malchanceuse,Y,F,,Native,N,Emotion,NonSpec,Jebbour 1996,1314,waʃʃ,waʃʃ,id waʃʃ,id waʃʃ,taʃʃ,taʃʃ,tid taʃʃ,tid taʃʃ,Underived,,NotAppl,,5.0,,1111-1111,1.0,,,waʃʃ,H,F,1,2,1,0
Masculine,Masculine,,"Ablaut
Final A",Fixed-Masc,"Assumption: has initial vowel, but also ablaut, since it has internal plural pattern. Wordform 4 is just exceptional. ",Mixed,,N,iwtma,,,Zero,Y,awtm,Y,M,male,mâle,Y,M,,Native,N,Mankind,Male,Jebbour 1996,1315,awtm,wawtm,iwtman,iwtman,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,aw.tm,HL,Fl,1,3,1,1
Masculine,Masculine,Yes,Ablaut,Variable-Masc,,Internal,,N,!ddukka,,,A,N,!ddakku,N,M,handlebar plow,mancheron de charrue,N,M,,Native,N,Agriculture & Vegetation,,Jebbour 1996,1317,!addakku,!uddakku,!iddukka,!iddukka,!taddakkut,!tddakkut,!tiddukka,!tddukka,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,d.dak.ku,LHL,lFl,1,4,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,kbur,N,M,how to arrange the haïk on the head,manière d'arranger le haïk sur la tête,N,M,,Native,N,Clothing & Adornment,,Jebbour 1996,1319,akbur,ukbur,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,k.bur,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,A,N,ssudu,N,F,how to ride (a horse),manière de monter (un cheval),N,F,,Native,N,Animals,,Jebbour 1996,1320,,,,,tassudut,tssudut,,,Action Nouns,,ssudu (verb),to ride,5.0,,0000-1100,0.0,,,s.su.du,LLL,lF,0,3,1,1
Masculine,Masculine,Yes,Medial A,Variable-Masc,Stem phonology: glide formation,Internal,,N,skʷtaj,,,A,N,skʷti,N,M,crank,manivelle,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,1321,askʷti,uskʷti,iskʷtaj,iskʷtaj,taskʷtit,tskʷtit,tiskʷtaj,tskʷtaj,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,sk.ti,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,A,N,dalli,N,F,low self esteem,manque d'amour propre,N,F,,Arabic-Assimilated,N,Emotion,,Jebbour 1996,1322,,,,,tadallit,tdallit,,,Action Nouns,,ddullu (verb),to lack self-esteem,5.0,,0000-1100,0.0,,,dal.li,HL,Fl,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,External,,N,glagal,,,A,N,glagal,N,M,marsh,marais,N,M,,Native,N,Physical World,,Jebbour 1996,1324,aglagal,uglagal,iglagaln,iglagaln,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,g.la.gal,LLH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,A,N,wada,N,F,walking,marche,N,F,,Native,N,Motion & Transportation,,Jebbour 1996,1325,,,,,tawada,twada,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,wa.da,LL,F,0,2,1,0
Masculine,Masculine,Yes,Medial A,Variable-Masc,,Internal,,N,skʷfal,,,A,N,skʷfl,N,M,stair,marche d'escalier,N,F,,Native,N,Motion & Transportation,,Jebbour 1996,1326,askʷfl,uskʷfl,iskʷfal,iskʷfal,taskʷflt,tskʷflt,tiskʷfal,tskʷfal,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,sk.fl,HL,Fl,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,mzigz,,,A,Y,mzigz,Y,M,walker,marcheur,Y,M,,Native,N,Motion & Transportation,NonSpec,Jebbour 1996,1330,amzigz,umzigz,imzigzn,imzigzn,tamzigzt,tmzigzt,timzigzin,tmzigzin,Agentives,,zigz (verb),to walk,0.0,,1111-1111,1.0,,,m.zi.gz,LLL,lF,0,3,1,1
Feminine,Feminine,,,Fixed-Fem,"Stem phonology: epenthesis, vowel disharmony
",External,,N,mʁriw,,,A,N,mʁra,N,F,marriage,mariage,N,F,,Native,N,Mankind,,Jebbour 1996,1331,,,,,tamʁra,tmʁra,timʁriwin,tmʁriwin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,mʁ.ra,HL,Fl,1,3,1,1
Masculine,Neutral,,,Neutral,Stem phonology: epenthesis,External,External,Y,bħri,bħrij,,A,Y,bħri,Y,M,"marine, sailor",marin,Y,M,,Arabic-Assimilated,N,Motion & Transportation,NonSpec,Jebbour 1996,1332,abħri,ubħri,ibħrin,ibħrin,tabħri,tbħri,tibħrijin,tbħrijin,Agentives,,bħr (noun),sea,0.0,,1111-1111,1.0,,,bħ.ri,HL,Fl,1,3,1,1
Feminine,Feminine,Yes,,Variable-Fem,,External,,N,kin,,,I,N,kin,N,F,cooking pot,marmite,N,F,,Native,N,Food & Drink,,Jebbour 1996,1333,ikin,ikin,ikinn,kinn,tikint,tkint,tikinin,tkinin,Underived,,NotAppl,,5.0,,1111-1111,0.0,AUG,1-AUG,kin,H,F,1,2,1,0
Masculine,Masculine,Yes,Ablaut,Variable-Masc,Singular Theme: regular delabialization.,Internal,,N,gʷdar,,,A,N,gdur,N,M,cooking pot,marmite,N,M,,Arabic-Assimilated,N,Food & Drink,,Jebbour 1996,1334,agdur,ugdur,igʷdar,igʷdar,tagdurt,tgdurt,tigʷdar,tgʷdar,Underived,,NotAppl,,0.0,DIM,1111-1111,1.0,,5-DIM,g.dur,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,kssal,,,A,N,kssal,Y,M,masseur,masseur,Y,M,,Native,N,Body Parts & Functions,NonSpec,Jebbour 1996,1337,akssal,ukssal,ikssaln,ikssaln,takssalt,tkssalt,tikssalin,tkssalin,Agentives,,kssl (verb),to massage,0.0,POLY,1111-1111,1.0,,5-POLY,ks.sal,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,!gzaz,N,M,chewing,mastication,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,1338,!agzaz,!ugzaz,,,,,,,Action Nouns,,!gzz (verb),to chew,0.0,,1100-0000,1.0,,,g.zaz,LH,lF,1,3,1,1
Masculine,Neutral,,Ablaut,Neutral,,Internal,,N,mhraʃ,,,A,Y,mhruʃ,Y,M,bad person,mauvais,Y,M,,Native,N,Emotion,NonSpec,Jebbour 1996,1340,amhruʃ,umhruʃ,imhraʃ,imhraʃ,tamhruʃt,tmhruʃt,timhraʃ,tmhraʃ,Agentives,,hrʃ (verb),be bad,0.0,,1111-1111,1.0,,,mh.ruʃ,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,External,,N,!gzzaz,,,A,N,!gzzaz,N,M,stomach ache,maux d'estomac,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,1341,!agzzaz,!ugzzaz,!igzzazn,!igzzazn,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,gz.zaz,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,!dbib,,,A,Y,!dbib,Y,M,doctor,médecin,Y,M,,Arabic-Assimilated,N,Body Parts & Functions,NonSpec,Jebbour 1996,1342,!adbib,!udbib,!idbibn,!idbibn,!tadbibt,!tdbibt,!tidbibin,!tdbibin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,d.bib,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,External,,N,safar,,,A,N,safar,N,M,drug,médicament,N,M,,Native,N,Body Parts & Functions,,Jebbour 1996,1343,asafar,usafar,isafarn,isafarn,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,sa.far,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,bʒaw,,,A,Y,bʒaw,Y,M,mehari (dromedary camel),méhari,N,M,,Native,N,Animals,NonSpec,Jebbour 1996,1345,abʒaw,ubʒaw,ibʒawn,ibʒawn,tabʒawt,tbʒawt,tibʒawin,tbʒawin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,b.ʒaw,LH,lF,1,3,1,1
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,mrwaj,,,A,N,mrwaj,N,M,"mixture, mess","mélange, pagaille",N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,1347,amrwaj,umrwaj,imrwajn,imrwajn,tamrwajt,tmrwajt,,,Action Nouns,,mmrwi (verb),be mixed,0.0,UNIT,1111-1100,1.0,,5-UNIT,mr.waj,LH,lF,1,3,1,1
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,rkkis,N,M,liquid mixture,mélange liquide,N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,1348,arkkis,urkkis,,,,,,,Action Nouns,,rks (verb),to mix,0.0,,1100-0000,1.0,,,rk.kis,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,rkuku,N,M,liquid mixture of flour,mélange liquide de farine,N,M,,Native,N,Food & Drink,,Jebbour 1996,1349,arkuku,urkuku,,,,,,,Underived,,NotAppl,,0.0,,1100-0000,1.0,,,r.ku.ku,LLL,lF,0,3,1,1
Masculine,Masculine,,,Fixed-Masc,,External,,N,rggʷaj,,,A,N,rggʷaj,N,M,"mixing, disorder","mélange, désordre",N,M,,Native,N,Physical Acts & Materials,,Jebbour 1996,1350,arggʷaj,urggʷaj,irggʷajn,irggʷajn,,,,,Action Nouns,,rwi (verb),to mix,0.0,,1111-0000,1.0,,,rg.gaj,HH,FF,1,4,2,0
Feminine,Feminine,Yes,Medial A,Variable-Fem,"Variants: afrdi ~ tafrdit
Stem phonology: glide formation",Internal,,N,frdaj,,,I,N,frdi,N,F,"member of a pair of things (e.g., shoes, socks)",membre d'une paire,N,M,,Native,N,Quantity & Number,,Jebbour 1996,1355,ifrdi,ifrdi,ifrdaj,ifrdaj,tifrdit,tfrdit,tifrdaj,tfrdaj,Underived,,NotAppl,,5.0,,1111-1111,0.0,AUG,1-AUG,fr.di,LL,F,0,2,1,0
Masculine,Masculine,,,Fixed-Masc,,No Plural,,N,,,,A,N,ħssu,N,M,"memory, learning","mémorisation, apprentissage",N,M,,Native,N,Mind & Thought,,Jebbour 1996,1356,aħssu,uħssu,,,,,,,Action Nouns,,ħsu (verb),memorize,0.0,,1100-0000,1.0,,,ħs.su,LL,F,0,2,1,0
Masculine,Neutral,,Medial A,Neutral,,Internal,,N,mnqqar,,,A,Y,mnqqr,Y,M,beggar,mendiant,Y,M,,Native,N,Social Relations,NonSpec,Jebbour 1996,1357,amnqqr,umnqqr,imnqqar,imnqqar,tamnqqrt,tmnqqrt,timnqqar,tmnqqar,Agentives,,nqqr (verb),to knock the door,0.0,,1111-1111,1.0,,,mnq.qr,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,Only Plural,,N,ikrkas,,,Zero,N,,N,F,lie,mensonge,N,F,,Native,N,Emotion,,Jebbour 1996,1359,,,,,,,tikrkas,tikrkas,Underived,,NotAppl,,7.0,,0000-0011,0.0,,,,,,0,0,0,0
Masculine,Masculine,Yes,,Variable-Masc,,External,,N,!nʒʒar,,,A,N,!nʒʒar,Y,M,carpenter,menuisier,Y,M,,Arabic-Assimilated,N,Possession & Trade,NonSpec,Jebbour 1996,1363,!anʒʒar,!unʒʒar,!inʒʒarn,!inʒʒarn,!tanʒʒart,!tnʒʒart,!tinʒʒarin,!tnʒʒarin,Occupational Nouns,,???,to plane,0.0,POLY,1111-1111,1.0,,5-POLY,nʒ.ʒar,HH,FF,1,4,2,0
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,!lħggʷar,N,F,contempt,mépris,N,F,,Arabic-Assimilated,N,Emotion,,Jebbour 1996,1364,,,,,!lħggʷart,!lħggʷart,,,Action Nouns,,!ħgr (verb),to contempt,5.0,,0000-1100,0.0,,,l.ħg.gar,LLH,FF,1,4,2,0
Masculine,Neutral,,,Neutral,,External,,N,mkraj,,,A,Y,mkraj,Y,M,mercenary,mercenaire,Y,M,,Native,N,Warfare & Hunting,NonSpec,Jebbour 1996,1367,amkraj,umkraj,imkrajn,imkrajn,tamkrajt,tmkrajt,timkrajin,tmkrajin,Agentives,,kru (verb),rentm hire,0.0,,1111-1111,1.0,,,mk.raj,HH,FF,1,4,2,0
Masculine,Masculine,,Ablaut,Fixed-Masc,Singular Theme: regular delabialization.,Internal,,N,sqqʷal,,,A,N,sqqul,N,M,measurement (= arm),mesure (=bras),N,M,,Native,N,Quantity & Number,,Jebbour 1996,1368,asqqul,usqqul,isqqʷal,isqqʷal,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,sq.qul,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,To do: Check English gloss,External,,N,!ftri,,,A,N,!ftri,N,M,grain measure,mesure à grains,N,M,,Arabic-Assimilated,N,Quantity & Number,,Jebbour 1996,1369,!aftri,!uftri,!iftrin,!iftrin,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,ft.ri,HL,Fl,1,3,1,1
Masculine,Neutral,,,Neutral,"Assumption: since it can be a person who measures, assume human.",External,,N,!ʕbbar,,,A,Y,!ʕbbar,Y,M,"measuring, measuring vessel, weighing or measuring person","mesure, récipient de mesure, personne qui pèse ou mesure",Y,M,,Arabic-Assimilated,N,Quantity & Number,NonSpec,Jebbour 1996,1370,!aʕbbar,!uʕbbar,!iʕbbarn,!iʕbbarn,!taʕbbart,!tʕbbart,!tiʕbbarin,!tʕbbarin,Occupational Nouns,,ʕbr (verb),to measure,0.0,,1111-1111,1.0,,,ʕb.bar,HH,FF,1,4,2,0
Masculine,Masculine,,,Fixed-Masc,Stem phonology: latent final glide deletion,External,,N,sttwa,,,A,N,stta,N,M,loom,métier à tisser,N,M,,Native,N,Clothing & Adornment,,Jebbour 1996,1373,!astta,!ustta,!isttwan,!isttwan,,,,,Instrumental Nouns,,!zd (verb),tisser,0.0,,1111-0000,1.0,,,st.ta,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,ajssa,N,F,shepherding,"métier de berger, action de paître",N,F,,Native,N,Animals,,Jebbour 1996,1374,,,,,tajssa,tajssa,,,Action Nouns,,ks (verb),paître,5.0,,0000-1100,0.0,,,a.js.sa,LLL,lF,0,3,1,1
Masculine,Neutral,,,Neutral,,External,,N,ħzgan,,,A,Y,ħzgan,Y,M,mestizo,métis,Y,M,,Native,N,Social Relations,NonSpec,Jebbour 1996,1376,aħzgan,uħzgan,iħzgann,iħzgann,taħzgant,tħzgant,tiħzganin,tħzganin,Underived,,NotAppl,,0.0,,1111-1111,1.0,,,ħz.gan,LH,lF,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,ijja,N,F,meter (poetry),mètre (poésie),N,F,,Native,N,Language & Music,,Jebbour 1996,1377,,,,,tijjat,tijjat,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,ij.ja,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,ilqqi,N,F,bread crumb,mie (de pain),N,F,,Native,N,Food & Drink,,Jebbour 1996,1379,,,,,tilqqi,tilqqi,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,i.lq.qi,LLL,lF,0,3,1,1
Feminine,Feminine,,,Fixed-Fem,,No Plural,,N,,,,Zero,N,ammn,N,F,honey,miel,N,F,,Native,N,Food & Drink,,Jebbour 1996,1380,,,,,tammnt,tammnt,,,Underived,,NotAppl,,5.0,,0000-1100,0.0,,,am.mn,HL,Fl,1,3,1,1
Feminine,Feminine,,,Fixed-Fem,,External,,N,swwan,,,A,N,swwan,N,F,kite,milan,N,F,,Native,N,Language & Music,,Jebbour 1996,1381,,,,,taswwant,tswwant,tiswwanin,tswwanin,Underived,,NotAppl,,5.0,,0000-1111,0.0,,,sw.wan,HH,FF,1,4,2,0
Masculine,Masculine,,"Ablaut
Final A",Fixed-Masc,,Mixed,,N,!afda,,,Zero,N,!ifd,N,M,thousand,millier,N,M,,Native,N,Quantity & Number,,Jebbour 1996,1382,!ifd,!jifd,!afdan,!wafdan,,,,,Underived,,NotAppl,,0.0,,1111-0000,1.0,,,i.fd,LL,F,0,2,1,0
Masculine,Masculine,Yes,,Variable-Masc,To do: derived input,External,,N,!drrab,,,A,N,!drrab,Y,M,minor,mineur,Y,M,,Native,N,Social Relations,NonSpec,Jebbour 1996,1383,!adrrab,!udrrab,!idrrabn,!idrrabn,!tadrrabt,!tdrrabt,!tidrrabin,!tdrrabin,Occupational Nouns,,???,,0.0,POLY,1111-1111,1.0,,5-POLY,dr.rab,LH,lF,1,3,1,1
Masculine,Neutral,,,Neutral,"Gender: masc/fem depending on the gender of the modified noun
",External,,N,zbabaj,,,A,Y,zbabaj,Y,M,"tiny, thin thing","minuscule, mince",N,M,,Native,N,Spatial Relations,NonSpec,Jebbour 1996,1384,azbabaj,uzbabaj,izbabajn,izbabajn,tazbabajt,tzbabajt,tizbabajin,tzbabajin,Agentives,,izbub (verb),Be thin,0.0,,1111-1111,1.0,,,z.ba.baj,LLH,FF,1,4,2,0
